"id","title","year","region","language","director","type","actor","date","rate","rating_num","runtime","url"
"34800706","地狱女子 Perempuan Tanah Jahanam","2019","印度尼西亚 / 韩国 / 美国","印度尼西亚语","乔可·安华","悬疑,恐怖","塔拉·巴斯罗,阿里奥·巴尤,Marissa Anita,克里斯汀·哈金,阿斯马拉·阿比盖尔,Kiki Narendra,Afrian Aris,Zidni Hakim,Faradina Mufti,Abdurrahman Arif,Muhammad Abe Baasyin,Mursiyanto,Ahmad Ramadhan,缇尤库·里夫纳·维卡纳,Arswendy Bening Swara","2019-10-17(印度尼西亚)","6.1","1737","107分钟","https://movie.douban.com/subject/34800706/"
"34801038","黑客帝国：矩阵重启 The Matrix Resurrections","2021","美国","英语","拉娜·沃卓斯基","动作,科幻","基努·里维斯,凯瑞-安·莫斯,叶海亚·阿卜杜勒-迈丁,乔纳森·格罗夫,杰西卡·亨维克,尼尔·帕特里克·哈里斯,贾达·萍克·史密斯,佩丽冉卡·曹帕拉,克里斯蒂娜·里奇,朗贝尔·维尔森,安德鲁·卡德威尔,托比·奥伍梅尔,马克思·雷迈特,约书亚·格罗斯,布莱恩·J·史密斯,埃伦迪拉·伊瓦拉,迈克尔·X·萨默斯,马克斯·毛夫,帕鲁布·科里,弗莉玛·阿吉曼,安德鲁·罗斯尼,里奥·盛,特尔玛·霍普金斯,约翰·盖耶塔,Donald Mustard,基姆·利布莱利,查德·斯塔赫斯基,朱利安·格雷,陈虎,史蒂芬·邓利维,艾伦·霍尔曼,伊恩·皮里,Nicolas de Pruyssenaere,梅西·麦克利,詹姆斯·麦克特格,威廉·W·巴伯,丹尼尔·伯哈特,埃尔文·费利西达,迈克尔·J·格温,Linda Joy Henry,约翰·洛巴托,安妮-玛丽·奥尔森,艾蒂安·维克,克莱顿·华生,詹姆斯·D·韦斯顿二世","2022-01-14(中国大陆)","5.7","91068","148分钟","https://movie.douban.com/subject/34801038/"
"34801538","全民小英雄 We Can Be Heroes","2020","美国","英语","罗伯特·罗德里格兹","剧情,喜剧,动作,奇幻","YaYa Gosselin,Lyon Daniels,安迪·沃肯,哈拉·芬利,Lotus Blossom,Dylan Henry Lau,Andrew Diaz,Isaiah Russell-Bailey,阿基拉·阿克巴,Nathan Blair,维维恩·莱拉·布莱尔,佩丽冉卡·曹帕拉,佩德罗·帕斯卡,艾德里安娜·巴拉扎,波伊德·霍布鲁克,克里斯蒂安·史莱特,Jeffrey J. Dashnaw,泰勒·杜雷,姜成镐,克里斯托弗·麦克唐纳,格兰特·加里森,艾米·莱昂纳兹,J·昆顿·约翰逊,布列塔尼·派丽-拉塞尔,李·埃迪,尼克·史蒂文森,Racer Rodriguez,Rhiannon Rodriguez,阿琳·卡瓦佐斯,特里斯坦·里格斯,瑞秋·斯派克特,马克·A·怀特,海尔斯·杨","2020-12-25(美国网络)","5.4","1199","","https://movie.douban.com/subject/34801538/"
"34801934","无名世界的终结 名も無き世界のエンドロール","2021","日本","日语","佐藤祐市","剧情,悬疑","岩田刚典,新田真剑佑,山田杏奈,中村安奈,石丸谦二郎,大友康平,柄本明","2021-01-29(日本)","6.6","1173","101分钟","https://movie.douban.com/subject/34801934/"
"34801991","てれびくん超バトルDVD 仮面ライダービビビのビビルゲイツ","2019","日本","日语","山口恭平","剧情,喜剧,科幻","押田岳,奥野壮,大幡诗绘理,渡边圭祐,绀野彩夏,板垣李光人","2019-08-01(日本)","7.4","171","23分钟","https://movie.douban.com/subject/34801991/"
"34802093","千里追凶","2020","中国大陆","汉语普通话","于大雄,王瑞","动作,犯罪","艾东,李易祥,是之","2020-10-22(中国大陆)","5.4","699","88分钟","https://movie.douban.com/subject/34802093/"
"34802334","冰路营救 The Ice Road","2021","美国","英语","乔纳森·汉斯雷","剧情,动作,惊悚,冒险","连姆·尼森,马库斯·托马斯,劳伦斯·菲什伯恩,安伯·明迪桑德,本杰明·沃克,霍特·麦克卡兰尼,马丁·桑斯梅耶,马特·麦考伊,马特·塞林格,查德·布鲁斯,亚当·哈蒂格,布拉德利·索茨基,马歇尔·威廉斯,加布里埃尔·丹尼尔斯,劳伦·科克伦,阿尔·科利,捷克琳·洛温,艾丽西亚·约翰斯顿,艾伦·默克,达西·菲尔,洛丽·帕帕佐普洛斯,Arne MacPherson,Paul Essiembre","2021-06-25(美国)","6.4","11718","109分钟","https://movie.douban.com/subject/34802334/"
"34802738","我仍然相信 I Still Believe","2020","美国","英语","安德鲁·欧文,乔恩·欧文","剧情,爱情,音乐","布丽特·罗伯森,K·J·阿帕,梅丽莎·罗斯伯格,阿比盖尔·F·考恩,加里·西尼斯,内森·帕森斯,仙妮娅·唐恩,鲁本·多德,卡梅伦·阿内特,塔妮娅·克里斯汀森,谢·杜伊特,尼古拉斯·G·西姆斯,艾莉莎·冈萨雷斯,格里芬·胡德","2020-03-13(美国)","6.7","1920","115分钟","https://movie.douban.com/subject/34802738/"
"34803037","刑警ZERO 特别篇2019 刑事ゼロ スペシャル2019","2019","日本","日语","及川拓郎","剧情,悬疑,犯罪","泽村一树,泷本美织,寺岛进,渡边一计,武田铁矢,猫背椿,大东骏介,小野乃乃香,波冈一喜,长谷川朝晴,宮地真緒,永岛敏行","2019-09-15(日本)","6.6","976","102分钟","https://movie.douban.com/subject/34803037/"
"34803097","命运之力 La Forza del Destino","2019","英国","英语","Christof Loy","剧情,音乐","安娜·奈瑞贝科,约纳斯·考夫曼,路多维·特耶Ludovic Tézier","2019-04-02(英国)","8.6","84","约235分钟(高清放映版)","https://movie.douban.com/subject/34803097/"
"34803278","生日蛋糕 The Birthday Cake","2021","美国","英语","Jimmy Giannopoulos","剧情,惊悚,犯罪","伊万·麦克格雷格,希罗·弗南德兹,方·基默,艾什莉·本森,洛南·布雷科,大卫·马祖,Clara McGregor","2021-06-18(美国)","4.3","200","93分钟","https://movie.douban.com/subject/34803278/"
"34803835","被遗忘的战役 De slag om de Schelde","2020","荷兰 / 立陶宛 / 比利时","荷兰语 / 德语 / 英语","小马泰斯·范海宁根","剧情,战争","吉斯·布洛姆,杰米·福雷特斯,苏珊·雷德尔,扬·贝弗特,汤姆·费尔顿,科恩·布里尔,西奥·巴克利姆-比格斯,斯科特·里德,Marthe Schneider,Ronald Kalter,Hayo Bruins,尤斯图斯·冯·多赫纳尼,Joep Paddenburg,马克·范·伊文,Vincent van den Berg,Bianca Krijgsman,皮特·布科夫斯基,罗吉尔·席佩斯,罗伯特·内勒,戈登·莫里斯,理查德·迪兰,雅各布·迪尔,Simon Lee Phillips,马蒂克斯·舍佩斯,戴兰·史密斯,Ilja Roßbander,丹·希尔斯特","2020-12-17(荷兰)","7.6","5915","124分钟","https://movie.douban.com/subject/34803835/"
"34805216","圣人莫德 Saint Maud","2019","英国","英语","罗斯·格拉斯","恐怖","莫菲德·克拉克,詹妮弗·艾莉,莉莉·奈特,莉莉·弗雷泽,图尔洛夫·科维里,罗茜·桑塞姆,马库斯·赫顿,纲高向井,费丝·爱德华兹","2019-09-05(多伦多电影节)","6.3","3585","84分钟","https://movie.douban.com/subject/34805216/"
"34805219","饥饿站台 El hoyo","2019","西班牙","西班牙语","加尔德·加兹特鲁·乌鲁蒂亚","科幻,惊悚","伊万·马萨格,佐伦·伊格,安东尼亚·圣胡安,埃米利奥·布阿勒,亚历山德拉·玛桑凯,马里奥·帕尔多,阿尔吉斯·阿洛斯卡斯,米莉安·马丁,Zihara Llana,Txubio Fernández de Jáuregui,Eric Goode,Óscar Oliver,Chema Trujillo,Gorka Zufiaurre,Miriam K. Martxante","2019-09-06(多伦多电影节)","7.8","282641","94分钟","https://movie.douban.com/subject/34805219/"
"34805221","浩瀚的夜晚 The Vast of Night","2019","美国","英语","安德鲁·帕特森","剧情,科幻,悬疑","谢拉·麦克康米克,杰克·霍洛维茨,盖尔·克罗纳奥尔,布鲁斯·戴维斯,夏安·巴顿,米莉·米丽耕,帕姆·多尔蒂,理查德·杰克森,利比·维拉利","2019-01-26(斯兰丹斯电影节)","5.9","1070","89分钟","https://movie.douban.com/subject/34805221/"
"34805873","孤味","2020","中国台湾","汉语普通话 / 闽南话","许承杰","剧情,家庭","陈淑芳,谢盈萱,徐若瑄,孙可芳,丁宁,陈妍霏,张钧甯,杨一展,张翰,龙劭华,洪胜德,于子育,杨闵,许怀民,庄心瑜,蔡海殷,陈家逵","2020-11-06(中国台湾)","8.0","71871","123分钟","https://movie.douban.com/subject/34805873/"
